ID, PERSON_ID, CHECKIN, CHECKOUT, BUILDING
0000000031, 0000000001, '2017-04-04 10:49:44', '2017-04-04 12:50:24', '9247'
0000000032, 0000000001, '2017-04-04 14:24:32', '2017-04-04 15:28:50', '9250'
0000000033, 0000000001, '2017-04-04 17:12:51', '2017-04-04 19:41:24', '9252'
0000000034, 0000000001, '2017-04-04 21:24:46', '2017-04-04 23:59:18', '115954'
0000000035, 0000000001, '2017-04-05 07:24:00', '2017-04-05 09:29:26', '9401'
0000000036, 0000000001, '2017-04-05 11:48:48', '2017-04-05 12:54:23', '9401'
0000000037, 0000000001, '2017-04-05 14:06:20', '2017-04-05 16:58:39', '9247'
0000000038, 0000000001, '2017-04-05 18:15:34', '2017-04-05 20:57:32', '9401'
0000000039, 0000000001, '2017-04-05 21:48:53', '2017-04-05 22:53:49', '9247'
0000000040, 0000000001, '2017-04-06 08:13:17', '2017-04-06 10:43:03', '115954'
0000000041, 0000000001, '2017-04-06 11:00:53', '2017-04-06 13:20:57', '9252'
0000000042, 0000000001, '2017-04-06 15:42:43', '2017-04-06 17:48:22', '9401'
0000000043, 0000000001, '2017-04-06 19:28:04', '2017-04-06 21:53:31', '115954'
0000000044, 0000000001, '2017-04-07 13:27:33', '2017-04-07 16:55:29', '9124'
0000000045, 0000000001, '2017-04-08 16:10:02', '2017-04-08 19:38:43', '9124'
0000000046, 0000000002, '2017-04-03 08:48:24', '2017-04-03 10:55:39', '9223'
0000000047, 0000000002, '2017-04-03 11:47:53', '2017-04-03 12:52:29', '9223'
0000000048, 0000000002, '2017-04-03 14:19:40', '2017-04-03 16:50:44', '115954'
0000000049, 0000000002, '2017-04-03 18:35:29', '2017-04-03 19:43:39', '9223'
0000000050, 0000000002, '2017-04-03 21:05:51', '2017-04-03 22:23:42', '9224'
0000000051, 0000000002, '2017-04-04 08:16:18', '2017-04-04 10:41:32', '9223'
0000000052, 0000000002, '2017-04-04 11:24:46', '2017-04-04 12:58:31', '9223'
0000000053, 0000000002, '2017-04-04 13:20:08', '2017-04-04 15:32:10', '9401'
0000000054, 0000000002, '2017-04-04 17:07:05', '2017-04-04 19:23:06', '9223'
0000000055, 0000000002, '2017-04-04 20:05:58', '2017-04-04 21:25:57', '115954'
0000000056, 0000000002, '2017-04-05 07:33:28', '2017-04-05 09:46:03', '9401'
0000000057, 0000000002, '2017-04-05 11:02:24', '2017-04-05 13:24:23', '9401'
0000000058, 0000000002, '2017-04-05 15:18:07', '2017-04-05 16:44:34', '9223'
0000000059, 0000000002, '2017-04-05 18:01:44', '2017-04-05 20:18:04', '115954'
0000000060, 0000000002, '2017-04-05 21:33:34', '2017-04-05 23:35:10', '9223'
0000000061, 0000000002, '2017-04-06 07:17:40', '2017-04-06 08:30:25', '9223'
0000000062, 0000000002, '2017-04-06 09:44:10', '2017-04-06 10:48:20', '9223'
0000000063, 0000000002, '2017-04-06 12:28:08', '2017-04-06 13:56:40', '9247'
0000000064, 0000000002, '2017-04-06 14:03:17', '2017-04-06 15:55:26', '9223'
0000000065, 0000000002, '2017-04-06 16:02:39', '2017-04-06 18:36:45', '9223'
0000000066, 0000000002, '2017-04-06 20:22:50', '2017-04-06 22:24:21', '9250'
0000000067, 0000000002, '2017-04-07 13:16:02', '2017-04-07 15:44:35', '9124'
0000000068, 0000000002, '2017-04-08 15:10:56', '2017-04-08 18:20:11', '9124'
0000000069, 0000000003, '2017-04-03 07:25:50', '2017-04-03 09:32:14', '115954'
0000000070, 0000000003, '2017-04-03 11:32:12', '2017-04-03 13:39:09', '9223'
0000000071, 0000000003, '2017-04-03 14:47:27', '2017-04-03 16:54:46', '9223'
0000000072, 0000000003, '2017-04-03 18:21:05', '2017-04-03 20:30:27', '9223'
0000000073, 0000000003, '2017-04-03 22:04:20', '2017-04-03 23:24:32', '9223'
0000000074, 0000000003, '2017-04-04 07:38:08', '2017-04-04 08:56:18', '9223'
0000000075, 0000000003, '2017-04-04 09:34:50', '2017-04-04 10:39:36', '9401'
0000000076, 0000000003, '2017-04-04 12:10:16', '2017-04-04 14:40:11', '115954'
0000000077, 0000000003, '2017-04-04 15:14:42', '2017-04-04 17:42:53', '115954'
0000000078, 0000000003, '2017-04-04 19:03:57', '2017-04-04 20:53:22', '9401'
0000000079, 0000000003, '2017-04-05 08:12:26', '2017-04-05 10:38:36', '9401'
0000000080, 0000000003, '2017-04-05 12:22:15', '2017-04-05 14:45:07', '9250'
0000000081, 0000000003, '2017-04-05 15:34:25', '2017-04-05 17:46:43', '9223'
0000000082, 0000000003, '2017-04-05 19:18:45', '2017-04-05 20:53:07', '9223'
0000000083, 0000000003, '2017-04-05 22:34:29', '2017-04-05 23:50:22', '115954'
0000000084, 0000000003, '2017-04-06 08:09:16', '2017-04-06 10:44:18', '115954'
0000000085, 0000000003, '2017-04-06 11:30:40', '2017-04-06 12:58:59', '9223'
0000000086, 0000000003, '2017-04-06 14:46:22', '2017-04-06 16:54:14', '9401'
0000000087, 0000000003, '2017-04-06 17:39:21', '2017-04-06 18:51:28', '9223'
0000000088, 0000000003, '2017-04-06 20:18:02', '2017-04-06 22:24:04', '9250'
0000000089, 0000000003, '2017-04-07 12:34:48', '2017-04-07 14:38:59', '9124'
0000000090, 0000000003, '2017-04-08 16:05:57', '2017-04-08 18:47:13', '9124'
0000000091, 0000000004, '2017-04-03 08:18:17', '2017-04-03 09:30:06', '9216'
0000000092, 0000000004, '2017-04-03 11:21:07', '2017-04-03 12:50:35', '9216'
0000000093, 0000000004, '2017-04-03 14:22:38', '2017-04-03 16:45:58', '115954'
0000000094, 0000000004, '2017-04-03 18:29:11', '2017-04-03 20:55:52', '115954'
0000000095, 0000000004, '2017-04-03 21:03:24', '2017-04-03 22:10:48', '9216'
0000000096, 0000000004, '2017-04-04 07:42:47', '2017-04-04 09:48:11', '9216'
0000000097, 0000000004, '2017-04-04 10:27:56', '2017-04-04 11:37:19', '9216'
0000000098, 0000000004, '2017-04-04 12:06:55', '2017-04-04 14:26:06', '9247'
0000000099, 0000000004, '2017-04-04 16:15:46', '2017-04-04 18:44:56', '115954'
0000000100, 0000000004, '2017-04-04 19:15:48', '2017-04-04 21:39:10', '115954'
0000000101, 0000000004, '2017-04-05 08:00:10', '2017-04-05 10:19:04', '9401'
0000000102, 0000000004, '2017-04-05 11:04:37', '2017-04-05 13:27:19', '9250'
0000000103, 0000000004, '2017-04-05 15:09:10', '2017-04-05 16:43:05', '9250'
0000000104, 0000000004, '2017-04-05 18:12:26', '2017-04-05 19:18:17', '9216'
0000000105, 0000000004, '2017-04-05 20:15:17', '2017-04-05 21:26:59', '115954'
0000000106, 0000000004, '2017-04-05 22:00:32', '2017-04-05 23:16:48', '9216'
0000000107, 0000000004, '2017-04-06 08:17:04', '2017-04-06 09:45:56', '115954'
0000000108, 0000000004, '2017-04-06 11:32:29', '2017-04-06 12:37:24', '9216'
0000000109, 0000000004, '2017-04-06 13:05:29', '2017-04-06 14:44:36', '9247'
0000000110, 0000000004, '2017-04-06 15:22:58', '2017-04-06 16:35:28', '115954'
0000000111, 0000000004, '2017-04-06 18:11:42', '2017-04-06 19:19:04', '115954'
0000000112, 0000000004, '2017-04-06 20:07:19', '2017-04-06 22:57:42', '115954'
0000000113, 0000000004, '2017-04-07 12:44:02', '2017-04-07 15:52:27', '9124'
0000000114, 0000000004, '2017-04-08 16:11:06', '2017-04-08 19:37:48', '9124'
0000000115, 0000000005, '2017-04-03 07:37:34', '2017-04-03 08:49:49', '9217'
0000000116, 0000000005, '2017-04-03 09:09:57', '2017-04-03 10:49:22', '9217'
0000000117, 0000000005, '2017-04-03 12:10:36', '2017-04-03 13:47:10', '9247'
0000000118, 0000000005, '2017-04-03 14:38:50', '2017-04-03 15:52:04', '115954'
0000000119, 0000000005, '2017-04-03 16:37:45', '2017-04-03 18:44:20', '115954'
0000000120, 0000000005, '2017-04-03 19:14:27', '2017-04-03 20:51:38', '9217'
0000000121, 0000000005, '2017-04-03 22:06:43', '2017-04-03 23:36:24', '9217'
0000000122, 0000000005, '2017-04-04 07:34:31', '2017-04-04 09:50:57', '9217'
0000000123, 0000000005, '2017-04-04 10:03:49', '2017-04-04 12:09:28', '9401'
0000000124, 0000000005, '2017-04-04 13:17:59', '2017-04-04 14:52:55', '115954'
0000000125, 0000000005, '2017-04-04 15:33:32', '2017-04-04 17:54:15', '115954'
0000000126, 0000000005, '2017-04-04 19:39:40', '2017-04-04 21:48:12', '9217'
0000000127, 0000000005, '2017-04-05 07:12:25', '2017-04-05 09:46:07', '115954'
0000000128, 0000000005, '2017-04-05 11:46:04', '2017-04-05 12:47:39', '9217'
0000000129, 0000000005, '2017-04-05 14:36:32', '2017-04-05 16:41:07', '9401'
0000000130, 0000000005, '2017-04-05 18:49:47', '2017-04-05 19:53:46', '9217'
0000000131, 0000000005, '2017-04-05 20:18:07', '2017-04-05 22:28:41', '115954'
0000000132, 0000000005, '2017-04-06 07:44:46', '2017-04-06 08:45:05', '115954'
0000000133, 0000000005, '2017-04-06 09:01:51', '2017-04-06 10:29:24', '9217'
0000000134, 0000000005, '2017-04-06 11:50:58', '2017-04-06 13:55:53', '9250'
0000000135, 0000000005, '2017-04-06 14:36:35', '2017-04-06 15:39:59', '9217'
0000000136, 0000000005, '2017-04-06 17:50:19', '2017-04-06 19:59:44', '115954'
0000000137, 0000000005, '2017-04-06 21:17:23', '2017-04-06 22:49:36', '115954'
0000000138, 0000000005, '2017-04-07 13:22:38', '2017-04-07 16:58:15', '9124'
0000000139, 0000000005, '2017-04-08 15:46:56', '2017-04-08 17:58:25', '9124'
0000000140, 0000000006, '2017-04-03 07:36:01', '2017-04-03 08:46:47', '9251'
0000000141, 0000000006, '2017-04-03 10:33:10', '2017-04-03 12:57:47', '9251'
0000000142, 0000000006, '2017-04-03 13:17:44', '2017-04-03 14:19:54', '9250'
0000000143, 0000000006, '2017-04-03 16:37:21', '2017-04-03 17:54:02', '115954'
0000000144, 0000000006, '2017-04-03 18:49:02', '2017-04-03 19:55:37', '115954'
0000000145, 0000000006, '2017-04-03 20:14:59', '2017-04-03 21:36:59', '9247'
0000000146, 0000000006, '2017-04-04 07:36:25', '2017-04-04 09:39:01', '9251'
0000000147, 0000000006, '2017-04-04 10:21:19', '2017-04-04 11:45:25', '9251'
0000000148, 0000000006, '2017-04-04 12:46:54', '2017-04-04 14:54:08', '9251'
0000000149, 0000000006, '2017-04-04 16:46:06', '2017-04-04 17:52:15', '9247'
0000000150, 0000000006, '2017-04-04 19:12:14', '2017-04-04 20:34:09', '115954'
0000000151, 0000000006, '2017-04-04 21:13:03', '2017-04-04 22:14:52', '9251'
0000000152, 0000000006, '2017-04-05 07:33:08', '2017-04-05 08:55:53', '9251'
0000000153, 0000000006, '2017-04-05 09:47:27', '2017-04-05 10:56:26', '115954'
0000000154, 0000000006, '2017-04-05 12:41:37', '2017-04-05 13:55:06', '115954'
0000000155, 0000000006, '2017-04-05 14:36:51', '2017-04-05 16:39:03', '9251'
0000000156, 0000000006, '2017-04-05 17:02:30', '2017-04-05 19:22:23', '9251'
0000000157, 0000000006, '2017-04-05 21:08:30', '2017-04-05 23:34:51', '9251'
0000000158, 0000000006, '2017-04-06 07:27:32', '2017-04-06 08:55:31', '9251'
0000000159, 0000000006, '2017-04-06 09:20:13', '2017-04-06 10:42:01', '9251'
0000000160, 0000000006, '2017-04-06 11:03:12', '2017-04-06 12:16:17', '9251'
0000000161, 0000000006, '2017-04-06 14:43:17', '2017-04-06 15:51:27', '115954'
0000000162, 0000000006, '2017-04-06 16:31:31', '2017-04-06 18:36:04', '9251'
0000000163, 0000000006, '2017-04-06 19:10:04', '2017-04-06 21:15:29', '9251'
0000000164, 0000000006, '2017-04-07 12:40:36', '2017-04-07 15:46:42', '9124'
0000000165, 0000000006, '2017-04-08 15:46:10', '2017-04-08 17:53:29', '9124'
0000000166, 0000000007, '2017-04-03 08:43:47', '2017-04-03 09:51:30', '9224'
0000000167, 0000000007, '2017-04-03 11:49:55', '2017-04-03 12:53:48', '115954'
0000000168, 0000000007, '2017-04-03 13:21:28', '2017-04-03 14:43:31', '9224'
0000000169, 0000000007, '2017-04-03 16:27:05', '2017-04-03 18:31:41', '115954'
0000000170, 0000000007, '2017-04-03 20:05:55', '2017-04-03 21:31:26', '115954'
0000000171, 0000000007, '2017-04-03 22:03:07', '2017-04-03 23:26:37', '115954'
0000000172, 0000000007, '2017-04-04 08:20:25', '2017-04-04 10:25:58', '115954'
0000000173, 0000000007, '2017-04-04 11:45:18', '2017-04-04 12:49:13', '9224'
0000000174, 0000000007, '2017-04-04 14:42:21', '2017-04-04 15:53:43', '115954'
0000000175, 0000000007, '2017-04-04 16:19:37', '2017-04-04 17:53:19', '115954'
0000000176, 0000000007, '2017-04-04 19:34:46', '2017-04-04 21:49:41', '115954'
0000000177, 0000000007, '2017-04-04 22:09:01', '2017-04-04 23:51:02', '9401'
0000000178, 0000000007, '2017-04-05 08:16:36', '2017-04-05 09:41:23', '115954'
0000000179, 0000000007, '2017-04-05 11:25:35', '2017-04-05 13:42:11', '115954'
0000000180, 0000000007, '2017-04-05 14:07:25', '2017-04-05 15:32:18', '9247'
0000000181, 0000000007, '2017-04-05 16:47:41', '2017-04-05 17:53:58', '115954'
0000000182, 0000000007, '2017-04-05 18:02:26', '2017-04-05 19:22:32', '9247'
0000000183, 0000000007, '2017-04-05 20:06:50', '2017-04-05 22:47:54', '9224'
0000000184, 0000000007, '2017-04-06 07:24:33', '2017-04-06 09:53:30', '9224'
0000000185, 0000000007, '2017-04-06 10:23:51', '2017-04-06 12:42:12', '9401'
0000000186, 0000000007, '2017-04-06 13:00:42', '2017-04-06 14:07:38', '9247'
0000000187, 0000000007, '2017-04-06 15:04:37', '2017-04-06 17:59:32', '9247'
0000000188, 0000000007, '2017-04-06 19:33:31', '2017-04-06 20:47:15', '9250'
0000000189, 0000000007, '2017-04-07 12:26:28', '2017-04-07 14:33:53', '9124'
0000000190, 0000000007, '2017-04-08 15:08:09', '2017-04-08 17:25:36', '9124'
0000000191, 0000000008, '2017-04-03 08:10:52', '2017-04-03 10:33:38', '9251'
0000000192, 0000000008, '2017-04-03 12:07:16', '2017-04-03 13:19:28', '115954'
0000000193, 0000000008, '2017-04-03 14:17:47', '2017-04-03 16:27:06', '9224'
0000000194, 0000000008, '2017-04-03 17:15:49', '2017-04-03 19:44:08', '9401'
0000000195, 0000000008, '2017-04-03 21:10:38', '2017-04-03 23:43:46', '9251'
0000000196, 0000000008, '2017-04-04 07:12:47', '2017-04-04 08:54:00', '115954'
0000000197, 0000000008, '2017-04-04 10:10:08', '2017-04-04 11:32:20', '9401'
0000000198, 0000000008, '2017-04-04 12:44:19', '2017-04-04 14:58:11', '9251'
0000000199, 0000000008, '2017-04-04 15:05:48', '2017-04-04 17:44:23', '9401'
0000000200, 0000000008, '2017-04-04 18:15:27', '2017-04-04 20:52:55', '9251'
0000000201, 0000000008, '2017-04-05 07:14:21', '2017-04-05 09:59:53', '9251'
0000000202, 0000000008, '2017-04-05 10:39:36', '2017-04-05 12:47:14', '9251'
0000000203, 0000000008, '2017-04-05 13:38:07', '2017-04-05 14:42:07', '9251'
0000000204, 0000000008, '2017-04-05 16:32:39', '2017-04-05 17:49:51', '9224'
0000000205, 0000000008, '2017-04-05 19:36:09', '2017-04-05 20:58:01', '9251'
0000000206, 0000000008, '2017-04-05 21:18:06', '2017-04-05 23:26:28', '115954'
0000000207, 0000000008, '2017-04-06 07:29:50', '2017-04-06 08:55:04', '115954'
0000000208, 0000000008, '2017-04-06 09:01:35', '2017-04-06 10:54:48', '9251'
0000000209, 0000000008, '2017-04-06 12:46:47', '2017-04-06 14:50:48', '9224'
0000000210, 0000000008, '2017-04-06 16:34:22', '2017-04-06 17:52:27', '115954'
0000000211, 0000000008, '2017-04-06 18:01:00', '2017-04-06 20:19:25', '9251'
0000000212, 0000000008, '2017-04-06 22:29:21', '2017-04-06 23:45:19', '115954'
0000000213, 0000000008, '2017-04-07 13:25:50', '2017-04-07 15:58:58', '9124'
0000000214, 0000000008, '2017-04-08 15:17:57', '2017-04-08 18:21:33', '9124'
0000000215, 0000000009, '2017-04-03 07:13:26', '2017-04-03 08:31:15', '9217'
0000000216, 0000000009, '2017-04-03 10:01:42', '2017-04-03 11:15:30', '9401'
0000000217, 0000000009, '2017-04-03 12:11:55', '2017-04-03 14:40:27', '9217'
0000000218, 0000000009, '2017-04-03 16:42:48', '2017-04-03 18:48:55', '9217'
0000000219, 0000000009, '2017-04-03 20:31:45', '2017-04-03 21:54:18', '9217'
0000000220, 0000000009, '2017-04-04 07:31:30', '2017-04-04 09:39:25', '9217'
0000000221, 0000000009, '2017-04-04 10:38:02', '2017-04-04 11:50:35', '115954'
0000000222, 0000000009, '2017-04-04 12:35:40', '2017-04-04 14:46:45', '9401'
0000000223, 0000000009, '2017-04-04 16:02:54', '2017-04-04 18:36:15', '9224'
0000000224, 0000000009, '2017-04-04 19:08:57', '2017-04-04 21:51:30', '9250'
0000000225, 0000000009, '2017-04-05 07:49:34', '2017-04-05 08:54:44', '9217'
0000000226, 0000000009, '2017-04-05 10:43:24', '2017-04-05 11:48:04', '115954'
0000000227, 0000000009, '2017-04-05 12:26:11', '2017-04-05 13:30:13', '9217'
0000000228, 0000000009, '2017-04-05 14:39:33', '2017-04-05 15:45:41', '9224'
0000000229, 0000000009, '2017-04-05 16:38:19', '2017-04-05 17:58:36', '9217'
0000000230, 0000000009, '2017-04-05 18:12:10', '2017-04-05 20:19:15', '115954'
0000000231, 0000000009, '2017-04-06 07:37:08', '2017-04-06 09:48:25', '9217'
0000000232, 0000000009, '2017-04-06 11:07:44', '2017-04-06 13:57:13', '115954'
0000000233, 0000000009, '2017-04-06 15:34:24', '2017-04-06 17:48:57', '9217'
0000000234, 0000000009, '2017-04-06 18:15:57', '2017-04-06 19:19:59', '9401'
0000000235, 0000000009, '2017-04-06 20:23:41', '2017-04-06 21:58:20', '9217'
0000000236, 0000000009, '2017-04-07 12:40:33', '2017-04-07 14:56:09', '9124'
0000000237, 0000000009, '2017-04-08 15:05:13', '2017-04-08 17:48:24', '9124'
0000000238, 0000000010, '2017-04-03 08:34:12', '2017-04-03 09:50:15', '9224'
0000000239, 0000000010, '2017-04-03 10:14:56', '2017-04-03 12:47:31', '9251'
0000000240, 0000000010, '2017-04-03 14:37:30', '2017-04-03 16:45:01', '115954'
0000000241, 0000000010, '2017-04-03 18:48:15', '2017-04-03 20:58:26', '115954'
0000000242, 0000000010, '2017-04-03 21:01:33', '2017-04-03 23:02:13', '115954'
0000000243, 0000000010, '2017-04-04 07:40:06', '2017-04-04 09:50:36', '115954'
0000000244, 0000000010, '2017-04-04 11:02:40', '2017-04-04 12:31:42', '9251'
0000000245, 0000000010, '2017-04-04 13:47:44', '2017-04-04 14:55:25', '115954'
0000000246, 0000000010, '2017-04-04 15:24:33', '2017-04-04 16:53:56', '9251'
0000000247, 0000000010, '2017-04-04 18:18:12', '2017-04-04 20:49:04', '9251'
0000000248, 0000000010, '2017-04-04 21:08:08', '2017-04-04 22:54:35', '9401'
0000000249, 0000000010, '2017-04-05 07:27:16', '2017-04-05 09:48:31', '9251'
0000000250, 0000000010, '2017-04-05 10:50:45', '2017-04-05 11:54:36', '9251'
0000000251, 0000000010, '2017-04-05 12:11:23', '2017-04-05 13:58:32', '9251'
0000000252, 0000000010, '2017-04-05 15:40:32', '2017-04-05 17:46:31', '115954'
0000000253, 0000000010, '2017-04-05 19:30:19', '2017-04-05 21:31:49', '115954'
0000000254, 0000000010, '2017-04-05 22:06:44', '2017-04-05 23:45:53', '115954'
0000000255, 0000000010, '2017-04-06 08:17:55', '2017-04-06 10:59:15', '9251'
0000000256, 0000000010, '2017-04-06 12:11:02', '2017-04-06 13:28:05', '9251'
0000000257, 0000000010, '2017-04-06 14:29:17', '2017-04-06 15:32:02', '9251'
0000000258, 0000000010, '2017-04-06 17:43:03', '2017-04-06 18:48:09', '9251'
0000000259, 0000000010, '2017-04-06 19:30:04', '2017-04-06 21:39:24', '9251'
0000000260, 0000000010, '2017-04-07 12:29:19', '2017-04-07 15:55:55', '9124'
0000000261, 0000000010, '2017-04-08 16:12:38', '2017-04-08 19:27:24', '9124'
0000000262, 0000000011, '2017-04-03 07:47:29', '2017-04-03 09:57:33', '9247'
0000000263, 0000000011, '2017-04-03 10:34:29', '2017-04-03 11:40:16', '9214'
0000000264, 0000000011, '2017-04-03 13:22:44', '2017-04-03 14:55:32', '115954'
0000000265, 0000000011, '2017-04-03 16:17:29', '2017-04-03 18:22:50', '9214'
0000000266, 0000000011, '2017-04-03 20:08:57', '2017-04-03 21:45:19', '115954'
0000000267, 0000000011, '2017-04-04 08:23:35', '2017-04-04 10:55:12', '115954'
0000000268, 0000000011, '2017-04-04 12:45:07', '2017-04-04 14:59:56', '9224'
0000000269, 0000000011, '2017-04-04 16:42:17', '2017-04-04 17:45:14', '115954'
0000000270, 0000000011, '2017-04-04 19:31:10', '2017-04-04 20:37:37', '9224'
0000000271, 0000000011, '2017-04-04 22:13:45', '2017-04-04 23:52:18', '9214'
0000000272, 0000000011, '2017-04-05 07:29:42', '2017-04-05 09:40:04', '9214'
0000000273, 0000000011, '2017-04-05 11:04:40', '2017-04-05 12:16:54', '115954'
0000000274, 0000000011, '2017-04-05 13:32:55', '2017-04-05 14:59:51', '115954'
0000000275, 0000000011, '2017-04-05 16:14:12', '2017-04-05 18:59:52', '9214'
0000000276, 0000000011, '2017-04-05 19:36:59', '2017-04-05 20:38:16', '115954'
0000000277, 0000000011, '2017-04-05 21:15:23', '2017-04-05 23:24:41', '115954'
0000000278, 0000000011, '2017-04-06 07:10:35', '2017-04-06 09:31:51', '115954'
0000000279, 0000000011, '2017-04-06 10:03:51', '2017-04-06 11:56:11', '115954'
0000000280, 0000000011, '2017-04-06 13:25:54', '2017-04-06 14:34:46', '115954'
0000000281, 0000000011, '2017-04-06 16:05:57', '2017-04-06 17:28:44', '115954'
0000000282, 0000000011, '2017-04-06 18:32:30', '2017-04-06 19:38:00', '9214'
0000000283, 0000000011, '2017-04-06 21:37:07', '2017-04-06 23:46:15', '115954'
0000000284, 0000000011, '2017-04-07 12:29:46', '2017-04-07 15:46:06', '9124'
0000000285, 0000000011, '2017-04-08 16:18:25', '2017-04-08 19:39:47', '9124'
0000000286, 0000000012, '2017-04-03 08:27:10', '2017-04-03 09:37:54', '9223'
0000000287, 0000000012, '2017-04-03 10:49:29', '2017-04-03 12:57:31', '9223'
0000000288, 0000000012, '2017-04-03 14:34:53', '2017-04-03 15:58:54', '115954'
0000000289, 0000000012, '2017-04-03 16:48:53', '2017-04-03 18:50:28', '115954'
0000000290, 0000000012, '2017-04-03 19:10:39', '2017-04-03 20:22:42', '9247'
0000000291, 0000000012, '2017-04-04 07:15:58', '2017-04-04 08:56:18', '115954'
0000000292, 0000000012, '2017-04-04 09:27:49', '2017-04-04 10:32:08', '9401'
0000000293, 0000000012, '2017-04-04 11:48:31', '2017-04-04 12:54:41', '9223'
0000000294, 0000000012, '2017-04-04 13:16:14', '2017-04-04 14:38:42', '9401'
0000000295, 0000000012, '2017-04-04 16:32:29', '2017-04-04 18:58:24', '115954'
0000000296, 0000000012, '2017-04-04 19:17:03', '2017-04-04 21:44:52', '9224'
0000000297, 0000000012, '2017-04-04 22:38:49', '2017-04-04 23:47:09', '9223'
0000000298, 0000000012, '2017-04-05 07:25:44', '2017-04-05 08:52:41', '9401'
0000000299, 0000000012, '2017-04-05 10:17:04', '2017-04-05 11:40:38', '9223'
0000000300, 0000000012, '2017-04-05 13:16:58', '2017-04-05 15:21:12', '9247'
0000000301, 0000000012, '2017-04-05 17:14:42', '2017-04-05 18:15:51', '115954'
0000000302, 0000000012, '2017-04-05 19:49:51', '2017-04-05 20:57:18', '9223'
0000000303, 0000000012, '2017-04-05 21:06:55', '2017-04-05 23:40:28', '115954'
0000000304, 0000000012, '2017-04-06 07:02:54', '2017-04-06 09:31:49', '115954'
0000000305, 0000000012, '2017-04-06 10:41:45', '2017-04-06 11:51:22', '9223'
0000000306, 0000000012, '2017-04-06 13:23:24', '2017-04-06 14:37:48', '9223'
0000000307, 0000000012, '2017-04-06 16:21:23', '2017-04-06 18:25:01', '9223'
0000000308, 0000000012, '2017-04-06 20:20:11', '2017-04-06 21:44:40', '115954'
0000000309, 0000000012, '2017-04-07 13:39:15', '2017-04-07 15:49:26', '9124'
0000000310, 0000000012, '2017-04-08 15:40:50', '2017-04-08 17:44:46', '9124'
0000000311, 0000000013, '2017-04-03 07:42:30', '2017-04-03 08:57:38', '115954'
0000000312, 0000000013, '2017-04-03 09:00:45', '2017-04-03 10:13:54', '9247'
0000000313, 0000000013, '2017-04-03 12:44:00', '2017-04-03 13:54:24', '115954'
0000000314, 0000000013, '2017-04-03 15:29:51', '2017-04-03 16:48:56', '115954'
0000000315, 0000000013, '2017-04-03 18:14:36', '2017-04-03 19:20:06', '9247'
0000000316, 0000000013, '2017-04-03 20:03:11', '2017-04-03 21:32:54', '9250'
